Author,Suite,Pluton,Age (MA),Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr,87Sr/86Sr(t),Sm,Nd,147Sm/144Nd,143Nd/144Nd,TDM,eNd(T=0),eNd_t,Author
[7],ChAlk,Umarizal,593,FA-04,,,,,,21.1,123.5,0.1033,0.51147,2310.656016,-22.8,-15.72792256,
[2],Shos,Solânea,572,SO-39F,,,,,,15.2,93.49,0.0983,0.511389,2317.008932,-24.36,-17.19489502,
[3],Shos,Sao Jose do Espinharas,575,MS-19,,,,,,10.3,60.1,0.1033,0.511444,2346.1221,-23.29,-16.45073535,
[2],EHKCalcAlkAlk,Dona Ines,582,DI- 72,,,,,,5.52,39.65,0.0841,0.511141,2353.244637,-29.2,-20.85605505,
[4],Shos,São João do Sabugi,579,ED-62*,,,,,,7.5,40,0.112,0.51153,2417.942476,-21.61,-15.367739,
[2],Shos,Solânea,572,SO-38,,,,,,17.25,103.1,0.1012,0.511309,2483.292925,-25.92,-18.97002158,
[4],EHKCalcAlkAlk,Acari,572,AC-1A,,,,,,4.7,26.3,0.107,0.511365,2538.222338,-24.83,-18.30070708,
[3],Shos,Japi,597,MH-11,,,,,,7.9,42.8,0.1118,0.511442,2543.158778,-23.33,-16.87679879,
[8],EHKCalcAlkAlk,Cerro Cora,560,D2A,,,,,,17.33,95.5,0.1097,0.511379,2583.32339,-24.56,-18.35821681,
[3],Shos,São José Espinharas,575,ED-169,,,,,,8.3,45.8,0.1101,0.51135,2635.289588,-25.12,-18.78752498,
[2],EHKCalcAlkAlk,Dona Ines,582,DI-77,,,,,,15.71,105.99,0.0896,0.510971,2662.686771,-32.5,-24.58684142,
[5],PHKCalcAlkAlk,Cabeçudo,575,238A,,,,,,13.53,77.06,0.106349,0.51126,2669.99467,-26.88,-20.26961652,
[7],PHKCalcAlkAlk,Pereiro (Sao Miguel),574,WC-83,,,,,,4,22.1,0.1101,0.511256,2771.594588,-27,-20.63488581,
[8],EHKCalcAlkAlk,Cerro Cora,560,D17B,,,,,,2.34,11.98,0.1183,0.511341,2873.854492,-25.3,-19.71692309,
[5],Alk,Caxexa,575,MA-01*,,,,,,1.19,6.05,0.1196,0.511271,3024.738507,-26.67,-21.03000783,
[5],EHKCalcAlkAlk,Caxexa,575,172A,,,,,,5.03,31.03,0.1038,0.510896,3105.654696,-33.98,-27.19281586,
