AUTOR,SERIE,Age (MA),PLUTON,Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr(T),Error,87Sr/86Sr(T),Error
[9],EHKCalcAlk,580,Sao Rafael,DSR-26 (Serra),59,514.3,0.114719036,0.4014,,0.717,
[9],EHKCalcAlk,580,Sao Rafael,DSR-28 (Serra),60.1,461.8,0.130142919,0.3317,,0.7169,
[14],PHKCalcAlk,,,B-11-1B,127.3,933,0.136441586,0.4,,0.7095,
[7],PHKCalcAlk,,,SN-12,186,691,0.269175109,0.78,,0.70861,
[7],PHKCalcAlk,,,ED-131,153,261,0.586206897,1.71,,0.70718,
[7],PHKCalcAlk,,,ED-163A,124,449,0.276169265,0.81,,0.70684,
[7],PHKCalcAlk,,,ED-112,123,459,0.267973856,0.78,,0.70682,
[7],PHKCalcAlk,,,AC-7B,164,239,0.686192469,1.99,,0.70678,
[7],PHKCalcAlk,,,AC-9,147,349,0.421203438,1.22,,0.70654,
[14],PHKCalcAlk,575,?,ZEF61,65,1525,0.042622951,0.123,,0.705234,
[5],PHKCalcAlk,593,Acao,UGC57,116.5,104.7,1.112702961,3.229,0.028,0.73789,0.00008
[5],PHKCalcAlk,593,Acao,UGC48,154.8,155.7,0.994219653,2.883,0.056,0.73378,0.00008
[5],PHKCalcAlk,593,Acao,UGC45,154.7,178.6,0.866181411,2.513,0.023,0.73084,0.00006
[8],PHKCalcAlk,575,Acari,MS-122B,261,155,1.683870968,4.88,0.137,0.74616,0.00022
[8],PHKCalcAlk,575,Acari,MS-122A,246,167,1.473053892,4.278,0.121,0.74398,0.00024
[8],PHKCalcAlk,575,Acari,AC-123A,248,183,1.355191257,3.935,0.111,0.74012,0.0004
[8],PHKCalcAlk,575,Acari,MS-124B,244,228,1.070175439,3.104,0.088,0.73171,0.00012
[8],PHKCalcAlk,575,Acari,AC-124A,221,236,0.936440678,2.715,0.077,0.73079,0.00026
[8],PHKCalcAlk,575,Acari,AC-11C,227,282,0.804964539,2.34,0.066,0.72579,0.00039
[8],PHKCalcAlk,575,Acari,AC-6,190,302,0.629139073,1.818,0.051,0.72276,0.00017
[8],PHKCalcAlk,575,Acari,AC-7B,167,249,0.670682731,1.941,0.055,0.72276,0.00019
[8],PHKCalcAlk,575,Acari,AC-7C,149,254,0.586614173,1.698,0.048,0.72082,0.00034
[8],PHKCalcAlk,575,Acari,AC-101,166,302,0.549668874,1.587,0.045,0.71936,0.00026
[8],PHKCalcAlk,575,Acari,AC-9D,150,373,0.402144772,1.168,0.033,0.7173,0.00034
[8],PHKCalcAlk,575,Acari,AC-9B,134,448,0.299107143,0.868,0.025,0.71436,0.00025
[8],PHKCalcAlk,575,Acari,MS-253B,129,547,0.23583181,0.685,0.019,0.71275,0.00026
[7],PHKCalcAlk,575,Acari,MS-122A,234,155,1.509677419,4.38,,0.70815,
[5],PHKCalcAlk,574,Caraubas,UGC301,332.8,161.4,2.061957869,6,0.077,0.76231,0.00009
[5],PHKCalcAlk,574,Caraubas,UGC82,261.3,238.6,1.095138307,3.179,0.037,0.7378,0.00007
[5],PHKCalcAlk,574,Caraubas,UGC135,273.1,318.2,0.858265242,2.488,0.029,0.73092,0.00012
[5],PHKCalcAlk,574,Caraubas,UGC79,261.8,248.6,1.053097345,3.056,0.036,0.73068,0.00007
[12],PHKCalcAlk,,Jandaira,RN-39,100.6,168.2,0.598097503,0.598097503,,0.71209,
[7],PHKCalcAlk,597,Japi,MH-318,133.4,333.1,0.400480336,1.16,,0.722,0.0232
[7],PHKCalcAlk,597,Japi,MH-320,116.3,354.8,0.327790304,0.947,,0.7217,0.0189
[7],PHKCalcAlk,597,Japi,MH-148b,124.4,412.5,0.301575758,0.874,,0.72014,0.0175
[7],PHKCalcAlk,597,Japi,MH-322,121.4,489.9,0.247805675,0.715,,0.71874,0.0143
[7],PHKCalcAlk,597,Japi,MH-294,91.8,603.5,0.152112676,0.44,,0.71541,0.088
[5],PHKCalcAlk,593,Lagoa,UGC-11,162.4,201.1,0.807558429,2.341,0.044,0.7302,0.00007
[10],PHKCalcAlk,573,Monte das Gameleiras,GA-13a,163,332,0.490963855,1.418,,0.7202,
[10],PHKCalcAlk,573,Monte das Gameleiras,GA-02,140,335,0.417910448,1.197,,0.7191,
[10],PHKCalcAlk,573,Monte das Gameleiras,GA-08,169,403,0.419354839,1.208,,0.7187,
[10],PHKCalcAlk,573,Monte das Gameleiras,GA-13b3,172,500,0.344,0.991,,0.7172,
[10],PHKCalcAlk,573,Monte das Gameleiras,GA-13p-3,165,480,0.34375,0.993,,0.7165,
[10],PHKCalcAlk,573,Monte das Gameleiras,GA-05,120,603,0.199004975,0.572,,0.7141,
[10],PHKCalcAlk,573,Monte das Gameleiras,GA-12a-2,107,1026,0.104288499,0.301,,0.71,
[10],PHKCalcAlk,573,Monte das Gameleiras,GA-17-2,109,1072,0.101679104,0.294,,0.7086,
[4],PHKCalcAlk,573,Monte das Gameleiras (Sao Bento),SC-G-10,1561,364.1,4.287283713,1.24,0.02,0.7178,0.0006
[4],PHKCalcAlk,573,Monte das Gameleiras (Sao Bento),SC-G-10,124.1,500.5,0.247952048,0.72,0.01,0.7138,0.0016
[5],PHKCalcAlk,,Prado,UGC268,281.5,260.4,1.081029186,3.137,0.036,0.73726,0.00014
[5],PHKCalcAlk,,Prado,UGC245,278.1,378.8,0.734160507,2.128,0.025,0.72684,0.00017
